阿Ｑ/null/null/a1,Ｑ
读后感/null/null/du2,hou4,gan3
读书笔记/null/null/du2,shu1,bi3,ji4
读书得间/null/null/du2,shu1,de2,jian4
读书君子/null/null/du2,shu1,jun1,zi3
读书人/null/null/du2,shu1,ren2
读书三到/null/null/du2,shu1,san1,dao4
读书三余/null/null/du2,shu1,san1,yu2
读书种子/null/null/du2,shu1,zhong3,zi3
读者文摘/null/null/du2,zhe3,wen2,zhai1
渎职罪/null/null/du2,zhi2,zui4
犊牧采薪/null/null/du2,mu4,cai3,xin1
独辟蹊径/null/null/du2,pi4,xi1,jing4
独步当时/null/null/du2,bu4,dang1,shi2
独步当世/null/null/du2,bu4,dang1,shi4
独出己见/null/null/du2,chu1,ji3,jian4
独当一面/null/null/du2,dang1,yi1,mian4
独到之处/null/null/du2,dao4,zhi1,chu4
独得之见/null/null/du2,de2,zhi1,jian4
独断专行/null/null/du2,duan4,zhuan1,xing2
独断独行/null/null/du2,duan4,du2,xing2
独夫民贼/null/null/du2,fu1,min2,zei2
独角戏/null/null/du2,jiao3,xi4
独脚戏/null/null/du2,jiao3,xi4
独具只眼/null/null/du2,ju4,zhi1,yan3
独揽大权/null/null/du2,lan3,da4,quan2
独立王国/null/null/du2,li4,wang2,guo2
独轮车/null/null/du2,lun2,che1
独木不成林/null/null/du2,mu4,bu4,cheng2,lin2
独木不林/null/null/du2,mu4,bu4,lin2
独木难支/null/null/du2,mu4,nan2,zhi1
独善其身/null/null/du2,shan4,qi2,shen1
独善吾身/null/null/du2,shan4,wu2,shen1
独生女/null/null/du2,sheng1,nv3
独行独断/null/null/du2,xing2,du2,duan4
独行踽踽/null/null/du2,xing2,ju3,ju3
独行其是/null/null/du2,xing2,qi2,shi4
独行其道/null/null/du2,xing2,qi2,dao4
独有千古/null/null/du2,you3,qian1,gu3
独有千秋/null/null/du2,you4,qian1,qiu1
独占鳌头/null/null/du2,zhan4,ao2,tou2
笃而论之/null/null/du3,er2,lun4,zhi1
笃近举远/null/null/du3,jin4,ju3,juan3
笃论高言/null/null/du3,lun4,gao1,yan2
笃实好学/null/null/du3,shi2,hao4,xue2
笃信好学/null/null/du3,xin4,hao4,xue2
笃学不倦/null/null/du3,xue2,bu4,juan4
笃学好古/null/null/du3,xue2,hao4,gu3
赌长较短/null/null/du3,chang2,jiao4,duan3
笃志好学/null/null/du3,zhi4,hao3,xue2
赌神发咒/null/null/du3,shen2,fa1,zhou4
赌誓发原/null/null/du3,shi4,fa1,yuan2
赌誓发愿/null/null/du3,shi4,fa1,yuan4
睹景伤情/null/null/du3,jing3,shang1,qing2
赌咒发誓/null/null/du3,zhou4,fa1,shi4
睹始知终/null/null/du3,shi3,zhi1,zhong1
睹微知著/null/null/du3,wei1,zhi1,zhu4
睹物思人/null/null/du3,wu4,si1,ren2
睹物兴情/null/null/du3,wu4,xing1,qing2
睹著知微/null/null/du3,zhu4,zhi1,wei1
睹着知微/null/null/du3,zhe5,zhi1,wei1
妒能害贤/null/null/du4,neng2,hai4,xian2
妒贤疾能/null/null/du4,xian2,ji2,neng2
妒贤嫉能/null/null/du4,xian2,ji2,neng2
杜耳恶闻/null/null/du4,er3,e4,wen2
杜渐除微/null/null/du4,jian4,chu2,wei1
杜渐防萌/null/null/du4,jian4,fang2,meng2
杜渐防微/null/null/du4,jian4,fang2,wei1
杜鹃啼血/null/null/du4,juan1,ti2,xue3
杜口结舌/null/null/du4,kou3,jie2,she2
杜门不出/null/null/du4,men2,bu4,chu1
杜门屏迹/null/null/du4,men2,ping2,ji4
杜门却扫/null/null/du4,men2,que4,sao3
杜默为诗/null/null/du4,mo4,wei2,shi1
肚里蛔虫/null/null/du4,li3,hui2,chong2
肚里泪下/null/null/du4,li3,lei4,xia4
度长絜大/null/null/du4,chang2,xie2,da4
度德量力/null/null/duo2,de2,liang4,li4
度长絜短/null/null/du4,chang2,xie2,duan3
度己以绳/null/null/duo2,ji3,yi3,sheng2
度假村/null/null/du4,jia4,cun1
度量衡/null/null/du4,liang4,heng2
度蜜月/null/null/du4,mi4,yue4
度日如年/null/null/du4,ri4,ru2,nian2
度外之人/null/null/du4,wai4,zhi1,ren2
度日如岁/null/null/du4,ri4,ru2,sui4
蠹居棊处/null/null/du4,ju1,que4,chu3
蠹居棋处/null/null/du4,ju1,qi2,chu3
蠹众木折/null/null/du4,zhong4,mu4,zhe2
端本澄源/null/null/duan1,ben3,cheng2,yuan2
端本正源/null/null/duan1,ben3,zheng4,yuan2
端倪可察/null/null/duan1,ni2,ke3,cha2
端人正士/null/null/duan1,ren2,zheng4,shi4
端午节/null/null/duan1,wu3,jie2
短兵相接/null/null/duan3,bing1,xiang1,jie1
短不了/null/null/duan3,bu4,liao3
短吃少穿/null/null/duan3,chi1,shao3,chuan1
短歌行/null/null/duan3,ge1,xing2
短褐不完/null/null/duan1,he4,bu4,wan2
短褐穿结/null/null/duan3,he4,chuan1,jie2
短见薄识/null/null/duan3,jian4,bo2,shi2
短篇小说/null/null/duan3,pian1,xiao3,shuo1
短叹长吁/null/null/duan3,tan4,chang2,xu1
短中取长/null/null/duan3,zhong1,qu3,chang2
断长补短/null/null/duan4,chang1,bu3,duan3
断长续短/null/null/duan4,chang1,xu4,duan3
断发文身/null/null/duan4,fa4,wen2,shen1
断发纹身/null/null/duan4,fa1,wen2,shen1
断管残沈/null/null/duan4,guan3,can2,shen3
断还归宗/null/null/duan4,huan2,gui1,zong1
断根绝种/null/null/duan4,gen1,jue2,zhong3
断齑画粥/null/null/duan4,ji1,hua4,zhou1
断蛟刺虎/null/null/duan4,jiao1,ci4,hu3
断缣尺楮/null/null/duan4,jian1,chi3,chu3
断齑块粥/null/null/duan4,ji1,kuai4,zhou1
断烂朝报/null/null/duan4,lan4,chao2,bao4
断木掘地/null/null/duan4,mu4,jue2,di4
断头将军/null/null/duan4,tou2,jiang1,jun1
断线风筝/null/null/duan4,xian4,feng1,zheng1
断头台/null/null/duan4,tou2,tai2
断线偶戏/null/null/duan4,xian4,ou3,xi4
断章截句/null/null/duan4,zhang1,jie2,ju4
断雨残云/null/null/duan4,yu3,can2,yun2
断章摘句/null/null/duan4,zhang1,zhai1,ju4
断织之诫/null/null/duan4,zhi1,zhi1,jie4
断织劝学/null/null/duan4,zhi1,quan4,xue2
断杼择邻/null/null/duan4,zhu4,ze2,lin2
断子绝孙/null/null/duan4,zi3,jue2,sun1
堆案盈几/null/null/dui1,an4,ying2,ji1
对比度/null/null/dui4,bi3,du4
对薄公堂/null/null/dui4,bu4,gong1,tang2
对不起/null/null/dui4,bu4,qi3
对不住/null/null/dui4,bu2,zhu4
对簿公堂/null/null/dui4,bu4,gong1,tang2
对称性/null/null/dui4,chen4,xing4
对称轴/null/null/dui4,chen4,zhou2
对床风雨/null/null/dui4,chuang2,feng1,yu3
对床夜雨/null/null/dui4,chuang2,ye4,yu3
对床夜语/null/null/dui4,chuang2,ye4,yu3
对答如流/null/null/dui4,da2,ru2,iu2
对得起/null/null/dui4,de5,qi3
对得住/null/null/dui4,de5,zhu4
对号入座/null/null/dui4,hao4,ru4,zuo4
对角线/null/null/dui4,jiao3,xian4
对景挂画/null/null/dui4,jing3,gua4,hua4
对景伤情/null/null/dui4,jing3,shang1,qing2
对酒当歌/null/null/dui4,jiu3,dang1,ge1
对空射击/null/null/dui4,kong1,she4,ji1
对口相声/null/null/dui4,kou3,xiang4,sheng5
对牛弹琴/null/null/dui4,niu2,tan2,qin2
对台戏/null/null/dui4,tai2,xi4
对头冤家/null/null/dui4,tou2,yuan1,jia1
对症发药/null/null/dui4,zheng4,fa1,yao4
对症之药/null/null/dui4,zheng4,zhi1,yao4
对症下药/null/null/dui4,zheng4,xia4,yao4
对着干/null/null/dui4,zhe5,gan4
兑换券/null/null/dui4,huan4,quan4
敦本务实/null/null/dun1,ben3,wu4,shi2
敦风厉俗/null/null/dun1,feng1,li4,su2
敦煌石窟/null/null/dun1,huang2,shi2,ku1
敦默寡言/null/null/dun1,mo4,gua3,yan2
敦诗说礼/null/null/dun1,shi1,shuo1,li3
敦世厉俗/null/null/dun1,shi4,li4,su2
囤积居奇/null/null/tun2,ji1,ju1,qi2
顿开茅塞/null/null/dun4,kai1,mao2,se4
顿纲振纪/null/null/dun4,gang1,zhen4,ji4
顿学累功/null/null/dun4,xue2,lei3,gong1
顿足不前/null/null/dun4,zu2,bu4,qian2
顿足椎胸/null/null/dun4,zu2,zhui1,xiong1
遁迹藏名/null/null/dun4,ji4,cang2,ming2
遁迹黄冠/null/null/dun4,ji4,huang2,guan4
遁迹空门/null/null/dun4,ji4,kong1,men2
遁身远迹/null/null/dun4,shen1,yuan3,ji4
遁入空门/null/null/dun4,ru4,kong1,men2
遁世长往/null/null/dun4,shi4,chang2,wang3
遁世无闷/null/null/dun4,shi4,wu2,men4
遁世隐居/null/null/dun4,shi4,yin3,ju1
遁俗无闷/null/null/dun4,su2,wu2,men4
遁天妄行/null/null/dun4,tian1,wang4,xing2
遁逸无闷/null/null/dun4,yi4,wu2,men4
遁形远世/null/null/dun4,xing2,yuan3,shi4
遁阴匿景/null/null/dun4,yin1,ni4,jing3
多倍体/null/null/duo1,bei4,ti3
多财善贾/null/null/duo1,cai2,shan4,gu3
多藏厚亡/null/null/duo1,cang2,hou4,wang2
多吃多占/null/null/duo1,chi1,duo1,zhan4
多弹头/null/null/duo1,dan4,tou2
多动症/null/null/duo1,dong4,zheng4
多端寡要/null/null/duo1,duan1,guai3,yao4
多发病/null/null/duo1,fa1,bing4
多多少少/null/null/duo1,duo1,shao3,shao3
多见广识/null/null/duo1,jian4,guang3,shi2
多会儿/null/null/duo1,hui4,er5
多角形/null/null/duo1,jiao3,xing2
多晶体/null/null/duo1,jing1,ti3
多口相声/null/null/duo1,kou3,xiang4,sheng5
多口阿师/null/null/duo1,kou3,a1,shi1
多快好省/null/null/duo1,kuai4,hao3,sheng3
多劳多得/null/null/duo1,lao2,duo1,de5
多棱镜/null/null/duo1,leng2,jing4
多面角/null/null/duo1,mian4,jiao3
多米尼加共和国/null/null/duo1,mi3,ni2,jia1,gong4,he2,guo2
多民族国家/null/null/duo1,min2,zu2,guo2,jia1
多难兴邦/null/null/duo1,nan4,xing1,bang1
多面体/null/null/duo1,mian4,ti3
多能多艺/null/null/duo1,neng2,duo1,yi4
多普勒效应/null/null/duo1,pu3,le4,xiao4,ying4
多歧亡羊/null/null/duo1,qi2,wang2,yang2
多钱善贾/null/null/duo1,qian2,shan4,gu3
多神教/null/null/duo1,shen2,jiao4
多收并畜/null/null/duo1,shou1,bing4,chu4
多文强记/null/null/duo1,wen2,qiang2,ji4
多文为富/null/null/duo1,wen2,wei2,fu4
多闻阙疑/null/null/duo1,wen2,que1,yi2
多闻强记/null/null/duo1,wen2,qiang2,ji4
多行不义必自毙/null/null/duo1,xing2,bu4,yi4,bi4,zi4,bi4
多凶少吉/null/null/duo1,xiong1,shao3,ji2
多许少与/null/null/duo1,xu3,shao3,yu3
多言繁称/null/null/duo1,yan2,fan2,cheng1
多言多语/null/null/duo1,yan2,duo1,yu3
多言或中/null/null/duo1,yan2,huo4,zhong1
多言数穷/null/null/duo1,yan2,shuo4,qiong2
多一事不如少一事/null/null/duo1,yi1,shi4,bu4,ru2,shao3,yi1,shi4
多一事不如省一事/null/null/duo1,yi1,shi4,bu4,ru2,sheng3,yi1,shi4
多元论/null/null/duo1,yuan2,lun4
多灾多难/null/null/duo1,zai1,duo1,nan4
多种多样/null/null/duo1,zhong3,duo1,yang4
多嘴献浅/null/null/duo1,zui3,xian4,qian3
咄咄书空/null/null/duo1,duo1,shu1,kong1
咄嗟便办/null/null/duo1,jie1,bian4,ban4
咄嗟之间/null/null/duo1,jie1,zhi1,jian1
夺人所好/null/null/duo2,ren2,suo3,hao4
夺其谈经/null/null/duo2,qi2,tan2,jing1
夺胎换骨/null/null/duo2,tai1,huan4,gu3
掇菁撷华/null/null/duo1,jing1,xie2,hua2
掇青拾紫/null/null/duo1,qing1,shi2,zi3
掇拾章句/null/null/duo1,shi2,zhang1,ju4
朵颐大嚼/null/null/duo3,yi1,da4,jiao2
堕溷飘茵/null/null/duo4,hun4,piao1,yin1
躲猫猫/null/null/duo3,mao1,mao1
堕云雾中/null/null/duo4,yun2,wu4,zhong1
堕甑不顾/null/null/duo4,zeng4,bu4,gu4
惰性气体/null/null/duo4,xing4,qi4,ti3
讹以传讹/null/null/e2,yi3,chuan2,e2
屙金溺银/null/null/e1,jin1,niao4,yin2
峨冠博带/null/null/e2,guan1,bo2,dai4
峨峨汤汤/null/null/e2,e2,shang1,shang1
鹅不食草/null/null/e2,bu4,shi2,cao3
鹅湖之会/null/null/e2,hu2,zhi1,hui4
鹅卵石/null/null/e2,luan3,shi2
鹅毛大雪/null/null/e2,mao2,da4,xue3
鹅王择乳/null/null/e2,wang2,ze2,ru3
鹅毛扇/null/null/e2,mao2,shan4
鹅行鸭步/null/null/e2,xing2,ya1,bu4
蛾眉皓齿/null/null/e2,mei2,hao4,chi3
鹅掌风/null/null/e2,zhang3,feng1
蛾眉螓首/null/null/e2,mei2,qin2,shou3
蛾眉月/null/null/e2,mei2,yue4
额手称庆/null/null/e2,shou3,cheng1,qing4
额手相庆/null/null/e2,shou3,xiang1,qing4
额首称庆/null/null/e2,shou3,cheng1,qing4
额手称颂/null/null/e2,shou3,cheng1,song4
婀娜多姿/null/null/e1,nuo2,duo1,zi1
扼喉抚背/null/null/e4,hou2,fu3,bei4
扼襟控咽/null/null/e4,jin1,kong4,yan1
扼吭夺食/null/null/e4,gang1,duo2,shi2
扼吭拊背/null/null/e4,gang1,fu3,bei4
扼亢拊背/null/null/e4,kang4,fu3,bei4
扼腕长叹/null/null/e4,wan4,chang2,tan4
恶不去善/null/null/wu4,bu4,qu4,shan4
恶尘无染/null/null/e4,chen2,wu2,ran3
恶叉白赖/null/null/e4,cha1,bai2,lai4
恶贯满盈/null/null/e4,guan4,man3,ying2
恶恶从短/null/null/wu4,wu4,cong2,duan3
恶贯已盈/null/null/e4,guan4,yi3,ying2
恶狠狠/null/null/e4,hen3,hen3
恶虎不食子/null/null/e4,hu3,bu4,shi2,zi3
恶迹昭著/null/null/e4,ji4,zhao1,zhu4
恶迹昭着/null/null/e4,ji4,zhao1,zhe5
恶积祸盈/null/null/e4,ji1,huo4,ying2
恶籍盈指/null/null/e4,ji2,ying2,zhi3
恶居下流/null/null/wu4,ju1,xia4,iu2
恶人先告状/null/null/e4,ren2,xian1,gao4,zhuang4
恶声恶气/null/null/e4,sheng1,e4,qi4
恶湿居下/null/null/wu4,shi1,ju1,xia4
恶事传千里/null/null/e4,shi4,chuan2,qian1,li3
恶事行千里/null/null/e4,shi4,xing2,qian1,li3
恶向胆边生/null/null/e4,xiang4,dan3,bian1,sheng1
恶势力/null/null/e4,shi4,li4
恶性循环/null/null/e4,xing4,xun2,huan2
恶凶凶/null/null/e4,xiong1,xiong1
恶言厉色/null/null/e4,yan2,li4,se4
恶性肿瘤/null/null/e4,xing4,zhong3,iu2
恶言詈辞/null/null/e4,yan2,li4,ci2
恶衣菲食/null/null/e4,yi1,fei1,shi2
恶衣恶食/null/null/e4,yi1,e4,shi2
恶衣蔬食/null/null/e4,yi1,shu1,shi2
恶衣粝食/null/null/e4,yi1,li4,shi2
恶意中伤/null/null/e4,yi4,zhong4,shang1
恶语伤人/null/null/e4,yu3,shang1,ren2
恶有恶报/null/null/e4,you3,e4,bao4
恶语伤人六月寒/null/null/e4,yu3,shang1,ren2,iu4,yue4,han2
恶语相加/null/null/e4,yu3,xiang1,jia1
恶语中伤/null/null/e4,yu3,zhong4,shang1
恶直丑正/null/null/e4,zhi2,chou3,zheng4
恶醉强酒/null/null/wu4,zui4,qiang3,jiu3
恶紫夺朱/null/null/wu4,zi3,duo2,zhu1
恶作剧/null/null/e4,zuo4,ju4
饿莩遍野/null/null/e4,piao3,bian4,ye3
饿莩载道/null/null/e4,piao3,zai3,dao4
饿虎扑食/null/null/e4,hu3,pu1,shi2
饿虎擒羊/null/null/e4,hu3,qin2,yang2
饿虎扑羊/null/null/e4,hu3,pu1,yang2
饿殍载道/null/null/e4,piao3,zai4,dao4
饿虎吞羊/null/null/e4,hu3,tun1,yang2
饿殍枕藉/null/null/e4,piao3,zhen3,ji2
遏恶扬善/null/null/e4,e4,yan2,shan4
遏渐防萌/null/null/e4,jian4,fang2,meng2
搤臂啮指/null/null/e4,bi4,nie4,zhi3
恩不放债/null/null/en1,bu4,fang4,zhai55
恩恩相报/null/null/en1,en1,xiang1,bao4
恩将仇报/null/null/en1,jiang1,chou2,bao4
恩荣并济/null/null/en1,rong2,bing4,ji4
恩若再生/null/null/en1,ruo4,zai4,sheng1
恩深义重/null/null/en1,shen1,yi4,zhong4
恩甚怨生/null/null/en1,shen4,yuan4,sheng1
恩同父母/null/null/en1,tong2,fu4,mu3
恩同山岳/null/null/en1,tong2,shan1,yue4
恩同再造/null/null/en1,tong2,zai4,zao4
恩威并用/null/null/en1,wei1,bing4,yong4
恩威并行/null/null/en1,wei1,bing4,xing2
恩有重报/null/null/en1,you3,zhong4,bao4
恩怨分明/null/null/en1,yuan4,fen1,ming2
恩重如山/null/null/en1,zhong4,ru2,shan1
恩重泰山/null/null/en1,zhong4,tai4,shan1
摁钉儿/null/null/en4,ding1,er2
儿女成行/null/null/er2,nv3,cheng2,hang2
儿女情长/null/null/er2,nv3,qing2,chang2
儿女亲家/null/null/er2,nv3,qing4,jia1
儿女心肠/null/null/er2,nv2,xin1,chang2
儿女债/null/null/er2,nv3,zhai4
儿女之情/null/null/er2,nv3,zhi1,qing2
儿童节/null/null/er2,tong2,jie2
儿童乐园/null/null/er2,tong2,le4,yuan2
耳边风/null/null/er3,bian1,feng1
耳鬓斯磨/null/null/er3,bin4,si1,mo2
耳鬓撕磨/null/null/er3,bin4,si1,mo2
耳鬓厮磨/null/null/er3,bin4,si1,mo2
耳根清净/null/null/er3,gen1,qing1,jing4
耳红面赤/null/null/er3,hong2,mian4,chi4
耳后生风/null/null/er3,hou4,sheng1,feng1
耳目闭塞/null/null/er3,mu4,bi4,sai1
耳旁风/null/null/er3,pang2,feng1
耳食之论/null/null/er3,shi2,zhi1,lun4
耳食之谈/null/null/er3,shi2,zhi1,tan2
耳食之言/null/null/er3,shi2,zhi1,yan2
耳视目食/null/null/er3,shi4,mu4,shi2
耳熟能详/null/null/er3,shu2,neng2,xiang2
耳提面命/null/null/er3,ti2,mian4,ming4
耳闻不如面见/null/null/er3,wen2,bu4,ru2,mian4,jian4
耳闻不如目见/null/null/er3,wen2,bu4,ru2,mu4,jian4
耳闻目见/null/null/er3,wen2,mu4,jian4
耳熏目染/null/null/er3,xun1,mu4,ran3
迩安远至/null/null/er3,an1,yuan3,zhi4
二把刀/null/null/er4,ba3,dao1
二把手/null/null/er4,ba3,shou3
二传手/null/null/er4,chuan2,shou3
二次能源/null/null/er4,ci4,neng2,yuan2
二次曲线/null/null/er4,ci4,qu1,xian4
二地主/null/null/er4,di4,zhu3
二分明月/null/null/er4,fen1,ming2,yue4
二锅头/null/null/er4,guo1,tou2
二化螟/null/null/er4,hua4,ming2
二话没说/null/null/er4,hua4,mei2,shuo1
二话不说/null/null/er4,hua4,bu4,shuo1
二郎腿/null/null/er4,lang2,tui3
二龙戏珠/null/null/er4,long2,xi4,zhu1
二面角/null/null/er4,mian4,jiao3
二七大罢工/null/null/er4,qi1,da4,ba4,gong1
二人台/null/null/er4,ren2,tai2
二人转/null/null/er4,ren2,zhuan4
二三其德/null/null/er4,san1,qi2,de2
二三其意/null/null/er4,san1,qi2,yi4
二十八宿/null/null/er4,shi2,ba1,xiu4
二十四节气/null/null/er4,shi2,si4,jie2,qi4
二竖为虐/null/null/er4,shu4,wei2,nüe4
二万五千里长征/null/null/er4,wan4,wu3,qian1,li3,chang2,zheng1
二姓之好/null/null/er4,xing4,zhi1,hao3
二氧化硅/null/null/er4,yang3,hua4,gui1
二氧化硫/null/null/er4,yang3,hua4,iu2
二氧化锰/null/null/er4,yang3,hua4,meng3
二氧化碳/null/null/er4,yang3,hua4,tan4
二氧化物/null/null/er4,yang3,hua4,wu4
二元论/null/null/er4,yuan2,lun4
二者不可得兼/null/null/er4,zhe3,bu4,ke3,de2,jian1
二重唱/null/null/er4,chong2,chang4
二重根/null/null/er4,chong2,gen1
二重性/null/null/er4,chong2,xing4
二重奏/null/null/er4,chong2,zou4
发报机/null/null/fa1,bao4,ji1
发病率/null/null/fa1,bing4,lv4
发财致富/null/null/fa1,cai2,zhi4,fu4
发策决科/null/null/fa1,ce4,jue2,ke1
发达国家/null/null/fa1,da2,guo2,jia1
发电厂/null/null/fa1,dian4,chang3
发电机/null/null/fa1,dian4,ji1
发动机/null/null/fa1,dong4,ji1
发端词/null/null/fa1,duan1,ci2
发短心长/null/null/fa4,duan3,xin1,chang2
发凡起例/null/null/fa1,fan2,qi3,li4
发奋图强/null/null/fa1,fen4,tu2,qiang2
发愤图强/null/null/fa1,fen4,tu2,qiang2
发愤忘食/null/null/fa1,fen4,wang4,shi2
发高烧/null/null/fa1,gao1,shao1
发号施令/null/null/fa1,hao4,shi1,ling4
发横财/null/null/fa1,heng4,cai2
发昏章第十一/null/null/fa1,hun1,zhang1,di4,shi2,yi1
发家致富/null/null/fa1,jia1,zhi4,fu4
发奸擿伏/null/null/fa1,jian1,ti4,fu2
发酒疯/null/null/fa1,jiu3,feng1
发刊词/null/null/fa1,kan1,ci2
发科打诨/null/null/fa1,ke1,da3,hun4
发牢骚/null/null/fa1,lao2,sao1
发令枪/null/null/fa1,ling4,qiang1
发聋振聩/null/null/fa1,long2,zhen4,kui4
发蒙解缚/null/null/fa1,meng2,jie3,fu5
发蒙解惑/null/null/fa1,meng2,jie3,huo4
发蒙振落/null/null/fa1,meng2,zhen4,luo4
发蒙振聩/null/null/fa1,meng2,zhen4,kui4
发明家/null/null/fa1,ming2,jia1
发明权/null/null/fa1,ming2,quan2
发怒冲冠/null/null/fa1,nu4,chong1,guan4
发怒穿冠/null/null/fa4,nu4,chuan1,guan1
发疟子/null/null/fa1,yao4,zi3
发脾气/null/null/fa1,pi2,qi4
发起人/null/null/fa1,qi3,ren2
发人深省/null/null/fa1,ren2,shen1,xing3
发人深思/null/null/fa1,ren2,shen1,si1
发上冲冠/null/null/fa1,shang4,chong1,guan4
发上指冠/null/null/fa1,shang4,zhi3,guan4
发烧友/null/null/fa1,shao1,you3
发神经/null/null/fa1,shen2,jing1
发生炉煤气/null/null/fa1,sheng1,lu2,mei2,qi4
发棠之请/null/null/fa1,tang2,zhi1,qing3
发秃齿豁/null/null/fa4,tu1,chi3,huo4
发屋求狸/null/null/fa1,wu1,qiu2,li2
发宪布令/null/null/fa1,xian4,bu4,ling4
发祥地/null/null/fa1,xiang2,di4
发行人/null/null/fa1,xing2,ren2
发行量/null/null/fa1,xing2,liang4
发硎新试/null/null/fa1,xing2,xin1,shi4
发芽率/null/null/fa1,ya2,lv4
发言人/null/null/fa1,yan2,ren2
发言权/null/null/fa1,yan2,quan2
发扬踔厉/null/null/fa1,yang2,chuo1,li4
发言盈庭/null/null/fa1,yan2,ying2,ting2
发扬光大/null/null/fa1,yang2,guang1,da4
发洋财/null/null/fa1,yang2,cai2
发扬蹈厉/null/null/fa1,yang2,dao3,li4
发音器官/null/null/fa1,yin1,qi4,guan1
发隐擿伏/null/null/fa1,yin3,ti1,fu2
发引千钧/null/null/fa4,yin3,qian1,jun1
发踊冲冠/null/null/fa4,yong3,chong1,guan1
发语词/null/null/fa1,yu3,ci2
发源地/null/null/fa1,yuan2,di4
发展速度/null/null/fa1,zhan3,su4,du4
发展心理学/null/null/fa1,zhan3,xin1,li3,xue2
发政施仁/null/null/fa1,zheng4,shi1,ren2
发展中国家/null/null/fa1,zhan3,zhong1,guo2,jia1
发植穿冠/null/null/fa4,zhi2,chuan1,guan1
发指眦裂/null/null/fa4,zhi3,zi4,lie4
发综指示/null/null/fa1,zong1,zhi3,shi4
发踪指使/null/null/fa1,zong1,zhi3,shi3
发踪指示/null/null/fa1,zong1,zhi3,shi4
发纵指使/null/null/fa1,zong4,zhi3,shi3
发纵指示/null/null/fa1,zong4,zhi3,shi4
伐冰之家/null/null/fa2,bing1,zhi1,jia1
伐功矜能/null/null/fa2,gong1,jin1,neng2
伐毛洗髓/null/null/fa2,mao2,xi3,sui3
伐异党同/null/null/fa2,yi4,dang3,tong2
罚不责众/null/null/fa2,bu4,ze2,zhong4
罚不当罪/null/null/fa2,bu4,dang1,zui4
法不阿贵/null/null/fa3,bu4,e1,gui4
法不传六耳/null/null/fa3,bu4,chuan2,iu4,er3
法不徇情/null/null/fa3,bu4,xun4,qing2
法定人数/null/null/fa3,ding4,ren2,shu4
法国号/null/null/fa3,guo2,hao4
法拉第/null/null/fa3,la1,di4
法律关系/null/null/fa3,lv4,guan1,xi4
法律行为/null/null/fa3,lv4,xing2,wei2
法律意识/null/null/fa3,lv4,yi4,shi2
法律责任/null/null/fa3,lv4,ze2,ren4
法律制度/null/null/fa3,lv4,zhi4,du4
法脉准绳/null/null/fa3,mai4,zhun3,sheng2
法轮常转/null/null/fa3,lun2,chang2,zhuan4
法向加速度/null/null/fa3,xiang4,jia1,su4,du4
法无可贷/null/null/fa3,wu2,ke3,dai4
番红花/null/null/fan1,hong2,hua1
番窠倒臼/null/null/fan1,ke1,dao3,jiu4
番来覆去/null/null/fan1,lai2,fu4,qu4
番木瓜/null/null/fan1,mu4,gua1
番石榴/null/null/fan1,shi2,iu2
翻肠倒肚/null/null/fan1,chang2,dao3,du3
翻肠搅肚/null/null/fan1,chang2,jiao3,du4
翻车鱼/null/null/fan1,che1,yu2
翻唇弄舌/null/null/fan1,chun2,nong4,she2
翻个儿/null/null/fan1,ge4,er2
翻跟斗/null/null/fan1,gen1,dou3
翻跟头/null/null/fan1,gen1,tou55
翻黄倒皁/null/null/fan1,huang2,dao3,yi2
翻黄倒皂/null/null/fan1,huang2,dao3,zao4
翻江倒海/null/null/fan1,jiang1,dao3,hai3
翻空出奇/null/null/fan1,kong1,chu1,qi2
翻筋斗/null/null/fan1,jin1,dou3
翻脸不认人/null/null/fan1,lian3,bu4,ren4,ren2
翻山越岭/null/null/fan1,shan1,yue4,ling3
翻手云覆手雨/null/null/fan1,shou3,yun2,fu4,shou3,yu3
翻箱倒柜/null/null/fan1,xiang1,dao3,gui4
翻天作地/null/null/fan1,tian1,zuo4,di4
翻天覆地/null/null/fan1,tian1,fu4,di4
翻箱倒笼/null/null/fan1,xiang1,dao3,long2
藩镇割据/null/null/fan1,zhen4,ge1,ju4
翻云覆雨/null/null/fan1,yun2,fu4,yu3
凡才浅识/null/null/fan2,cai2,qian3,shi2
凡尔丁/null/null/fan2,er3,ding1
凡夫肉眼/null/null/fan2,fu1,rou4,yan3
凡夫俗子/null/null/fan2,fu1,su2,zi3
凡胎浊骨/null/null/fan2,tai1,zhuo2,gu3
凡胎浊体/null/null/fan2,tai1,zhuo2,ti3
繁花似锦/null/null/fan2,hua1,si4,jin3
繁华损枝/null/null/fan2,hua2,sun3,zhi1
繁荣富强/null/null/fan2,rong2,fu4,qiang2
繁荣昌盛/null/null/fan2,rong2,chang1,sheng4
繁荣兴旺/null/null/fan2,rong2,xing1,wang4
繁体字/null/null/fan2,ti3,zi4
繁文末节/null/null/fan2,wen2,mo4,jie2
繁文缛节/null/null/fan2,wen2,ru4,jie2
繁文缛礼/null/null/fan2,wen2,ru4,li3
繁弦急管/null/null/fan2,xian2,ji2,guan3
繁刑重赋/null/null/fan2,xing2,zhong4,fu4
繁征博引/null/null/fan2,zheng1,bo2,yin3
繁枝细节/null/null/fan2,zhi1,xi4,jie2
反败为胜/null/null/fan3,bai4,wei2,sheng4
